_id,account_id,approximate_localization.lat,approximate_localization.lon,censored_text,cluster,content,content_not_full,content_translated,date,is_real,localization_missing,not_in_poland,photos_urls,rating,response_content,type_of_object
63e2e0d98b0803f03c00c02f,63e546a08f7e73edc5913876,53.3,15.9,false,Shops,Ok,false,false,2023-01-10T20:17:09.732Z,true,false,false,[],4,null,Dyskont spożywczy
63f2bcae8047cae56c427a1d,63e546a08f7e73edc5913876,53.6,15.6,false,Other services,Ok,false,false,2023-01-10T20:17:09.513Z,true,false,false,[],4,null,Magazyn
63f2bdc8ec2561ca0a25eb27,63e546a08f7e73edc5913876,53.6,15.7,false,Leisure,,false,false,2022-11-11T20:17:09.942Z,true,false,false,[],5,null,Stadnina koni
63f2bdd3ec2561ca0a25eb29,63e546a08f7e73edc5913876,53.5,15.6,false,Shops,,false,false,2022-11-11T20:17:10.381Z,true,false,false,[],4,null,Dyskont spożywczy
63f2bdd6ec2561ca0a25eb2b,63e546a08f7e73edc5913876,54.1,15,false,Shops,,false,false,2022-11-11T20:17:10.584Z,true,false,false,[],4,null,Dyskont spożywczy
63f2bdd9ec2561ca0a25eb2d,63e546a08f7e73edc5913876,53.5,15.3,false,Shops,,false,false,2022-11-11T20:17:10.785Z,true,false,false,[],4,null,Dyskont spożywczy
63f2bddcec2561ca0a25eb2f,63e546a08f7e73edc5913876,53.4,14.7,false,Shops,,false,false,2022-11-11T20:17:11.005Z,true,false,false,[],4,null,Centrum handlowe
63f2bddfec2561ca0a25eb31,63e546a08f7e73edc5913876,53.4,14.7,false,Shops,,false,false,2022-11-11T20:17:11.210Z,true,false,false,[],4,null,Sklep meblowy
63f2bde4ec2561ca0a25eb33,63e546a08f7e73edc5913876,53.3,15.9,false,Transport,,false,false,2022-11-11T20:17:11.653Z,true,false,false,[],4,null,Stacja paliw
63f2bde7ec2561ca0a25eb35,63e546a08f7e73edc5913876,54.2,15.6,false,Constructions,,false,false,2022-11-11T20:17:11.848Z,true,false,false,[],4,null,Skład materiałów budowlanych
63f2bdeaec2561ca0a25eb37,63e546a08f7e73edc5913876,53.6,15.6,false,Transport,,false,false,2022-11-11T20:17:12.054Z,true,false,false,[],4,null,Stacja paliw
63f2bdedec2561ca0a25eb39,63e546a08f7e73edc5913876,53.4,14.7,false,Constructions,,false,false,2022-11-11T20:17:12.281Z,true,false,false,[],4,null,Skład materiałów budowlanych
63f2bdf1ec2561ca0a25eb3b,63e546a08f7e73edc5913876,54.1,15,false,Sacral and Monuments,,false,false,2022-11-11T20:17:12.476Z,true,false,false,[],5,null,Ruiny
63f2bdf3ec2561ca0a25eb3d,63e546a08f7e73edc5913876,54.1,15,false,Lodging,Ok,false,false,2022-11-11T20:17:12.686Z,true,false,false,[],4,null,Hotel
63f2bdf6ec2561ca0a25eb3f,63e546a08f7e73edc5913876,50.1,19.9,false,Sacral and Monuments,,false,false,2022-09-12T20:17:12.950Z,true,false,false,[],5,null,Katedra
63f2be01ec2561ca0a25eb41,63e546a08f7e73edc5913876,50.1,19.9,false,Institutions,,false,false,2022-09-12T20:17:13.373Z,true,false,false,[],5,null,Pomnik
63f2be04ec2561ca0a25eb43,63e546a08f7e73edc5913876,53.8,15.8,false,Shops,,false,false,2022-09-12T20:17:13.603Z,true,false,false,[],4,null,Dyskont spożywczy
63f2be07ec2561ca0a25eb45,63e546a08f7e73edc5913876,54.2,15.4,false,Gastronomy,,false,false,2022-09-12T20:17:13.797Z,true,false,false,[],4,null,Restauracja
63f2be0aec2561ca0a25eb47,63e546a08f7e73edc5913876,54.2,15.4,false,Gastronomy,,false,false,2022-09-12T20:17:13.992Z,true,false,false,[],4,null,Restauracja
63f2be0dec2561ca0a25eb49,63e546a08f7e73edc5913876,53.9,15.2,false,Gastronomy,,false,false,2022-09-12T20:17:14.286Z,true,false,false,[],5,null,Hamburgery
63f2be10ec2561ca0a25eb4b,63e546a08f7e73edc5913876,54.2,15.4,false,Lodging,,false,false,2022-09-12T20:17:14.488Z,true,false,false,[],4,null,Hotel
63f2be14ec2561ca0a25eb4d,63e546a08f7e73edc5913876,50.1,19.9,false,Shops,,false,false,2022-09-12T20:17:14.691Z,true,false,false,[],5,null,Centrum handlowe
63f2be19ec2561ca0a25eb4f,63e546a08f7e73edc5913876,53.5,15.8,false,Lodging,Jest super   Więcej,true,false,2022-07-14T20:17:15.108Z,true,false,false,[],4,null,Hotel
63f2be1dec2561ca0a25eb51,63e546a08f7e73edc5913876,53.5,16,false,Shops,Ok,false,false,2022-07-14T20:17:15.313Z,true,false,false,[],4,null,Sklep dla majsterkowiczów
63f2be1fec2561ca0a25eb53,63e546a08f7e73edc5913876,53.5,15.8,false,Shops,Ok,false,false,2022-06-14T20:17:15.511Z,true,false,false,[],4,null,Sklep dla majsterkowiczów
63f2be22ec2561ca0a25eb55,63e546a08f7e73edc5913876,52.7,15.2,false,Transport,Ok,false,false,2022-02-09T20:17:15.737Z,true,false,false,[],5,null,Stacja paliw
